id;product_id;product_code;product_name;stock_quantity;unit_price
1;23324;Account;website quantify;38757;32433
2;90460;navigate wirele;Dynamic Pound withdrawal;88209;64964
3;8294;Centers Metal n;partnerships Infrastructure;91058;85179
4;82822;Moğolistan;green Malagasy;32770;54278
5;48018;neutral;Bike;78661;16911
6;11502;CFP orange;Village;95487;35518
7;58781;indigo JSON Mex;Steel;15779;40746
8;27546;homogeneous Cro;Chips De-engineered Tunnel;5902;8723
9;20319;SMSXX;methodical;83666;68319
10;16934;rich South Forw;Stand-alone Fantastic Sleek;44109;86012
